Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Product Description,Manufacturer
https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XG77KN/ref=sr_1_191?crid=2M096C61O4MLT&keywords=bags&qid=1685201038&sprefix=ba%2Caps%2C283&sr=8-191,"Mi Step Out 12 L Mini Backpack (Small Size, Red, Water Repellant)",₹369,4.1 out of 5 stars,"9,018",Description not available,ASIN not available,Product description not available,Manufacturer not available
https://www.amazon.in/Extreme-Machine-Rucksack-Bag-Trekking/dp/B08BXXSCJW/ref=sr_1_192?crid=2M096C61O4MLT&keywords=bags&qid=1685201038&sprefix=ba%2Caps%2C283&sr=8-192,"Extreme Machine 70 L Rucksack Bag Trekking Bag, Black",₹999,3.7 out of 5 stars,26,Description not available,ASIN not available,Product description not available,Manufacturer not available
https://www.amazon.in/Casual-Travel-Backpack-School-College/dp/B09PVCF9F8/ref=sr_1_241?crid=2M096C61O4MLT&keywords=bags&qid=1685201040&sprefix=ba%2Caps%2C283&sr=8-241,Airish 45 ltrs (46 Cms)Backpack(ARU-202_Green),₹664,3.6 out of 5 stars,More Like This,Description not available,ASIN not available,Product description not available,Manufacturer not available
https://www.amazon.in/Puma-Unisex-Adult-Backpack-Fizzy-9018404/dp/B0BWF2BNBP/ref=sr_1_242?crid=2M096C61O4MLT&keywords=bags&qid=1685201040&sprefix=ba%2Caps%2C283&sr=8-242,"Puma Unisex-Adult Big Cat Backpack, Fizzy Apple (9018404)",₹999,5.0 out of 5 stars,1,Description not available,ASIN not available,Product description not available,Manufacturer not available
https://www.amazon.in/Safari-Formal-Backpack-Anti-Theft-VAULT19CBBLK/dp/B07XSTR69N/ref=sr_1_243?crid=2M096C61O4MLT&keywords=bags&qid=1685201040&sprefix=ba%2Caps%2C283&sr=8-243,"Safari 48 Cms Black Formal/Office/Laptop Backpack With Anti-Theft, Lock, Usb And Rfid (Vault19Cbblk)",₹997,4.0 out of 5 stars,More Like This,Description not available,ASIN not available,Product description not available,Manufacturer not available
https://www.amazon.in/Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF1XJXY/ref=sr_1_244?crid=2M096C61O4MLT&keywords=bags&qid=1685201040&sprefix=ba%2Caps%2C283&sr=8-244,"Genie Flamenco Laptop Backpack for Women, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College",₹799,4.4 out of 5 stars,"2,997",Description not available,ASIN not available,Product description not available,Manufacturer not available
https://www.amazon.in/House-Quirk-Toiletry-Waterproof-Zippered/dp/B09G364GX5/ref=sr_1_245?crid=2M096C61O4MLT&keywords=bags&qid=1685201040&sprefix=ba%2Caps%2C283&sr=8-245,"House of Quirk Clear Toiletry Bag, Wash Make Up Bag PVC Waterproof Zippered Cosmetic Bag, Portable Carry Pouch for Women Men (Set of 3 Bag Black)",₹475,4.4 out of 5 stars,519,Description not available,ASIN not available,Product description not available,Manufacturer not available
https://www.amazon.in/Protecta-Professional-15-6-inch-Briefcase-Geometric/dp/B07GNCRCP4/ref=sr_1_246?crid=2M096C61O4MLT&keywords=bags&qid=1685201040&sprefix=ba%2Caps%2C283&sr=8-246,Protecta The Professional Laptop Bag Briefcase for Laptops with Screen Size Up to 15.6 Inch (Black & Indian Geometric Print),₹669,4.4 out of 5 stars,"1,443",Description not available,ASIN not available,Product description not available,Manufacturer not available
https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Bookbags/dp/B09P2RP9TG/ref=sr_1_247?crid=2M096C61O4MLT&keywords=bags&qid=1685201040&sprefix=ba%2Caps%2C283&sr=8-247,WILDHORN Laptop Backpack for Men/Women I Waterproof I Travel/Business/College Bookbags Fit 15.6 Inch Laptop,₹799,4.0 out of 5 stars,More Like This,Description not available,ASIN not available,Product description not available,Manufacturer not available
https://www.amazon.in/Half-Moon-Backpack-Organiser-Compartment/dp/B0C1V79PB6/ref=sr_1_248?crid=2M096C61O4MLT&keywords=bags&qid=1685201040&sprefix=ba%2Caps%2C283&sr=8-248,"Half Moon StyleX Unisex School Bags for Boys Girls Laptop Bag/Backpack for Men Women College Bag with Internal Organiser, Never Fading Print & 15.6 inch Laptop Compartment",₹499,4.0 out of 5 stars,More Like This,Description not available,ASIN not available,Product description not available,Manufacturer not available
https://www.amazon.in/DAHSHA-Multipurpose-Travel-Duffel-13X7x11-inch/dp/B07GCLJTZF/ref=sr_1_249?crid=2M096C61O4MLT&keywords=bags&qid=1685201040&sprefix=ba%2Caps%2C283&sr=8-249,DAHSHA Stylish Nylon Sling Cross Body Travel Bag for Business Office Messenger One Side Shoulder Carry Handbag Bag For Men & Women (35X18x25 CM-grey),₹694,3.9 out of 5 stars,More Like This,Description not available,ASIN not available,"Material Type : Nylon    Weight : 700 Gm ;Dimension : 35X18x25 CM(LxWxH) ADJUSTABLE STRAP : Belt length- 140CM.    Special Features - Messenger Bag zippered pockets (2 front side, 1 inner pocket, 2 main compartment)this Bag can be use as Tiffin bag.    Please Note : This Bag is Small and Use as a Tiffin or Lunch Bag as well as There is a Little Difference Between Photos and Reality in Bag    Disclaimer:To analyze the size accurately, kindly read the dimension and check with any scale available to you before placing order.",Visit the DAHSHA Store
https://www.amazon.in/American-Tourister-FS0-11-001/dp/B07S13P8BW/ref=sr_1_250?crid=2M096C61O4MLT&keywords=bags&qid=1685201040&sprefix=ba%2Caps%2C283&sr=8-250,American Tourister Spin 49 cms Teal Laptop Backpack,"₹1,660",4.0 out of 5 stars,More Like This,Description not available,ASIN not available,Product description not available,Manufacturer not available
https://www.amazon.in/Gear-Polyester-Laptop-Backpack-LBPECONO10412/dp/B012NW0J30/ref=sr_1_251?crid=2M096C61O4MLT&keywords=bags&qid=1685201040&sprefix=ba%2Caps%2C283&sr=8-251,Gear ECO1 24L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women- Grey-Black-Yellow,₹759,4.2 out of 5 stars,More Like This,Description not available,ASIN not available,Product description not available,Manufacturer not available
https://www.amazon.in/Aristocrat-Zeal-Unisex-Grey-Laptop/dp/B0B5YHC1W5/ref=sr_1_252?crid=2M096C61O4MLT&keywords=bags&qid=1685201040&sprefix=ba%2Caps%2C283&sr=8-252,Aristrocrat Unisex Laptop Bag Grey,₹799,4.4 out of 5 stars,More Like This,Description not available,ASIN not available,Product description not available,Manufacturer not available
https://www.amazon.in/Amazon-Basics-Professional-Backpack-15-inch-Laptop/dp/B09W4WB3K5/ref=sr_1_253?crid=2M096C61O4MLT&keywords=bags&qid=1685201040&sprefix=ba%2Caps%2C283&sr=8-253,"Amazon Basics - Laptop Backpack/College Bag/Travel Bag for 15.6-inch Laptop, Water-Resistant, Casual","₹1,669",3.7 out of 5 stars,18,Description not available,ASIN not available,Product description not available,Manufacturer not available
https://www.amazon.in/Vivinkaa-Womens-Sling-Bag-Blue/dp/B077WSKG53/ref=sr_1_254?crid=2M096C61O4MLT&keywords=bags&qid=1685201040&sprefix=ba%2Caps%2C283&sr=8-254,"Vivinkaa Sling Bag for Women, Bags for Women, Sling Bag, Purse for Women, Sling Bag for Women Stylish, Sling Bag for Girls, Women Sling Bag, Bag for Girls - Indigo",₹549,3.8 out of 5 stars,"1,902",Description not available,ASIN not available,Product description not available,Manufacturer not available
https://www.amazon.in/College-Laptop-Casual-Backpack-School/dp/B08NYFXCCK/ref=sr_1_255?crid=2M096C61O4MLT&keywords=bags&qid=1685201040&sprefix=ba%2Caps%2C283&sr=8-255,Anice College and Laptop Bag Casual Backpack School Bag Laptop Bag Laptop Backpack (Black),₹399,4.0 out of 5 stars,More Like This,Description not available,ASIN not available,Product description not available,Manufacturer not available
https://www.amazon.in/Lavie-Betula-Womens-Tote-Purple/dp/B08J8MV1GM/ref=sr_1_256?crid=2M096C61O4MLT&keywords=bags&qid=1685201040&sprefix=ba%2Caps%2C283&sr=8-256,Lavie Women's Betula Medium Tote Bag | Ladies Purse Handbag,₹959,4.1 out of 5 stars,More Like This,Description not available,ASIN not available,Product description not available,Manufacturer not available
